C_ID,T_ID,Text,Completion
0,0,너를 즐겁게 하는게 뭐야?,
1,0,너는 남들과 타협을 잘 하는 편이야?,
2,0,하루 중 가장 좋아하는 시간대가 언제야?,
3,0,지금 행복해?,
4,0,추천해 주고 싶은 책이 있어?,
5,0,너가 가장 인정받고 싶은 사람이 누구야?,
6,0,누군가와 갈등이 생겼을 때 어떻게 해결하는 편이야?,
7,0,지금 네 인생에서 가장 소중한 것이 뭐야?,
8,0,가장 돈을 많이 쓰는게 뭐야?,
9,0,너만의 스트레스 해소법이 있어?,
10,0,기억에 남는 꿈이 있어?,
11,0,어떤 스타일의 옷을 즐겨 입어?,
12,0,너는 시간 관리를 잘하는 편이야?,
13,0,가장 인상 깊게 본 공연이 어떤거야?,
14,0,기록 남기는 것을 좋아해?,
15,0,최근 가장 에너지를 많이 쓰고 있는 일이 있어?,
16,0,새롭게 만들고 싶은 습관이 있어?,
17,0,너에게 좋은 영향을 준 고마운 사람들이 있어?,
18,0,너는 너의 이름이 마음에 들어?,
19,0,너가 두려워하는 것이 뭐야?,
20,0,가지고 싶은 재능이 있어?,
21,0,너를 표현할 수 있는 단어들이 있다면 무엇들이라고 생각해?,
22,0,건강 관리는 어떻게 하고 있어?,
23,0,몇 번을 봐도 좋은 영화가 있어?,
24,0,새롭게 시도해 보고 싶은 취미가 있어?,
25,0,너에게 영감을 주는 것이 어떤거야?,
26,0,뉴스를 볼 때 가장 관심이 가는 분야가 어떤거야?,
27,0,이루고 싶은 목표가 있어?,
28,0,너의 단점이 뭐야?,
29,0,최근에 자주 먹는 음식이 있어?,
30,0,너는 네 감정에 얼마나 솔직해?,
31,0,복권에 당첨된다면 뭘하고 싶어?,
32,0,"아침, 점심, 저녁 중 가장 중요한 식사 시간이 언제야?",
33,0,너에게 가장 소중한 사람이 누구야?,
34,0,평소에 자주 하는 생각이 뭐야?,
35,0,평소 돈을 얼마나 많이 써?,
36,0,지금 가장 필요한게 뭐야?,
37,0,지금까지 시도해 본 취미들은 어떤것들이 있어?,
38,0,너는 계획적인 사람이야?,
39,0,좋아하는 향이 있어?,
40,0,가장 최근 눈물을 흘린 적이 언제야?,
41,0,기념일을 중요하게 생각해?,
42,0,최근 소리 내서 크게 웃었던 일이 있어?,
43,0,최근에 자주 듣는 음악이 있어?,
44,0,휴일이 되면 어떻게 보내?,
45,0,최근에 자주 가는 장소가 있어?,
46,0,가장 좋아하는 단어가 뭐야?,
47,0,너에게 큰 힘을 주는 것이 뭐야?,
48,0,너는 어떤 계절을 가장 좋아해?,
49,0,최근 가장 많이 방문한 사이트가 뭐야?,
50,0,가장 좋아하는 색이 뭐야?,
51,0,가장 친한 친구가 누구야?,
52,0,다른 사람과 의견이 다르면 어떻게해?,
53,0,즐겨하는 여가 활동이 있어?,
54,0,일주일 중 가장 특별하게 생각하는 요일이 언제야?,
55,0,마지막으로 갔던 여행이 어디야?,
56,0,너의 내년 일기를 미리 본다면 어떤 내용이 있을것 같아?,
57,0,너의 자존감은 점수로 매긴다면 어느 정도일것 같아?,
58,0,"최근 한 달 동안 한 일 중, 가장 의미있는 일이 있다면 어떤거야?",
59,0,정이 많이 든 물건이 있다면 어떤거야?,
60,0,너에 관한 것을 한 가지만 바꿀 수 있다면 어떤걸 바꿀거야?,
61,0,너의 삶을 이끌어주는 역할이 있다면 무엇이라고 생각해?,
62,0,너의 인생에서 소중한 인연을 만난 적이 있어?,
63,0,만약 내일 죽는다면 오늘 하루를 어떻게 보내고 싶어?,
64,0,곁에 가까이 두고 싶지 않은 유형의 사람이 있어?,
65,0,지금 가장 듣고 싶은 말은 무엇이야?,
66,0,너에게 선물을 한다면 무엇을 주고 싶어?,
67,0,너는 다음 생에 무엇으로 태어나고 싶어?,
68,0,너가 생각하는 좋은 사람은 어떤 사람이야?,
69,0,너가 가지고 있는 잠재력은 무엇이라고 생각해?,
70,0,너는 솔직한 사람이라고 생각해?,
71,0,과정과 결과 중 어떤 것이 더 중요하다고 생각해?,
72,0,너의 일상에 활력소가 되는 것이 있다면 어떤거야?,
73,0,너는 현실적인 사람이야?,
74,0,살면서 가장 낭만적이었던 순간이 언제야?,
75,0,너를 한마디로 정의할 수 있어?,
76,0,남들에게 어떤 사람으로 기억되었으면 좋겠어?,
77,0,지금 당장 떠오르는 3년 전 모습에 대해 말해줘,
78,0,너는 몇 살까지 일하고 싶어?,
79,0,앞으로 배우고 싶은 것이 있다면 어떤걸 배우고 싶어?,
80,0,가장 후회되는 경험이나 일이 있어?,
81,0,그땐 몰랐지만 돌이켜보니 소중했다고 생각하는 것이 있어?,
82,0,너에게 부모님은 어떤 사람들이었어?,
83,0,너의 이름은 무슨 뜻을 담고 있어?,
84,0,죽음 후에는 무엇이 있다고 생각해?,
85,0,5년 후 어떤 삶을 살고 있을것 같아?,
86,0,평소에 가장 많이 느끼는 감정이 뭐야?,
87,0,지금까지 너의 삶에 점수를 매긴다면 몇 점을 주고 싶어?,
88,0,"아무 이유 없이 본능적, 직감적으로 의사결정 한 적이 있어?",
89,0,선의의 거짓말에 대해 어떻게 생각해?,
90,0,너는 다른 사람들의 평가에 얼마나 신경써?,
91,0,너의 삶은 유전적인 요인과 환경적인 요인 중 어느쪽에 더 큰 영향을 받는다고 생각해?,
92,0,혹시 사람들이 알아줬으면 하는 너만의 의외의 면이 있어?,
93,0,살면서 가장 감사했던 순간이 언제야?,
